sale_id,sale_date,customer_id,product_id,quantity,sales_value,currency,sales_channel,sales_value_usd,customer_name,region,channel_category
1,2024-01-07 23:53:09.441530,nan,PROD009,6,439.53,USD,Online,439.53,,,
2,2024-08-29 23:53:09.441530,nan,PROD018,9,457.12,GBP,Retail,603.2198469253101,,,
3,2024-07-09 23:53:09.441530,nan,PROD007,5,140.33,JPY,Wholesale,0.9714699497131212,,,
4,2021-12-29 23:53:09.441530,nan,PROD002,2,236.45,JPY,Retail,1.636884982610044,,,
5,2022-12-09 23:53:09.441530,nan,PROD001,1,279.08,GBP,Wholesale,368.2765901293217,,,
6,2022-07-26 23:53:09.441530,nan,PROD005,3,475.07,JPY,Online,3.288792339558273,,,
7,2021-11-25 23:53:09.441530,nan,PROD003,4,499.32,EUR,Retail,555.417130144605,,,
8,2024-01-18 23:53:09.441530,nan,PROD007,7,125.35,GBP,Retail,165.4130377408287,,,
9,2022-01-07 23:53:09.441530,nan,PROD006,9,366.22,JPY,Wholesale,2.5352506590461004,,,
10,2023-10-08 23:53:09.441530,nan,PROD001,8,195.24,USD,Online,195.24,,,
11,2022-08-08 23:53:09.441530,nan,PROD019,9,13.97,GBP,Wholesale,18.43494325679599,,,
12,2023-11-13 23:53:09.441530,nan,PROD020,7,14.53,GBP,Wholesale,19.17392451834257,,,
13,2022-09-19 23:53:09.441530,nan,PROD014,8,235.68,JPY,Wholesale,1.6315544626835914,,,
14,2024-04-11 23:53:09.441530,nan,PROD010,8,249.28,GBP,Retail,328.95223013987857,,,
15,2022-06-02 23:53:09.441530,nan,PROD002,1,21.06,GBP,Online,27.790973871733964,,,
16,2022-12-02 23:53:09.441530,nan,PROD011,9,346.59,GBP,Online,457.3634204275534,,,
17,2021-09-20 23:53:09.441530,nan,PROD016,2,154.06,GBP,Online,203.29902348904724,,,
18,2022-05-09 23:53:09.441530,nan,PROD017,7,284.35,GBP,Wholesale,375.2309316442333,,,
19,2023-09-16 23:53:09.441530,nan,PROD005,5,157.45,GBP,Online,207.77249934019528,,,
20,2024-01-03 23:53:09.441530,nan,PROD018,4,91.9,EUR,Online,102.22469410456063,,,
21,2022-12-17 23:53:09.441530,nan,PROD016,1,209.52,JPY,Retail,1.4504552402472255,,,
22,2024-08-16 23:53:09.441530,nan,PROD010,1,123.81,EUR,Retail,137.71968854282537,,,
23,2023-01-22 23:53:09.441530,nan,PROD006,3,272.05,JPY,Retail,1.8833349947940896,,,
24,2023-07-30 23:53:09.441530,nan,PROD008,1,107.43,GBP,Wholesale,141.7656373713381,,,
25,2024-05-01 23:53:09.441530,nan,PROD006,8,259.12,JPY,Retail,1.7938237965485921,,,
26,2022-03-07 23:53:09.441530,nan,PROD004,3,87.12,EUR,Online,96.90767519466074,,,
27,2024-04-13 23:53:09.441530,nan,PROD005,2,338.78,JPY,Retail,2.34529031257615,,,
28,2023-07-17 23:53:09.441530,nan,PROD006,6,379.43,GBP,Wholesale,500.699392979678,,,
29,2024-04-13 23:53:09.441530,nan,PROD015,4,64.09,GBP,Retail,84.57376616521509,,,
30,2023-03-15 23:53:09.441530,nan,PROD006,4,239.22,GBP,Online,315.67695961995247,,,
31,2023-12-09 23:53:09.441530,nan,PROD019,2,44.73,EUR,Retail,49.75528364849833,,,
32,2023-06-07 23:53:09.441530,nan,PROD020,2,303.11,USD,Retail,303.11,,,
33,2021-09-19 23:53:09.441530,nan,PROD008,6,139.56,GBP,Retail,184.16468725257323,,,
34,2023-12-18 23:53:09.441530,nan,PROD013,5,268.54,GBP,Wholesale,354.36790709949855,,,
35,2022-02-12 23:53:09.441530,nan,PROD004,9,263.56,JPY,Wholesale,1.8245608205400856,,,
36,2022-09-21 23:53:09.441530,nan,PROD017,4,462.93,USD,Wholesale,462.93,,,
37,2023-04-22 23:53:09.441530,nan,PROD014,5,279.05,JPY,Wholesale,1.9317942668527504,,,
38,2022-07-11 23:53:09.441530,nan,PROD018,1,295.67,EUR,Wholesale,328.8876529477197,,,
39,2021-09-12 23:53:09.441530,nan,PROD015,2,206.81,USD,Retail,206.81,,,
40,2022-04-28 23:53:09.441530,nan,PROD019,3,475.05,GBP,Retail,626.8804433887569,,,
41,2023-10-15 23:53:09.441530,nan,PROD011,5,390.82,USD,Wholesale,390.82,,,
42,2023-03-17 23:53:09.441530,nan,PROD007,5,149.85,GBP,Wholesale,197.74346793349167,,,
43,2024-02-13 23:53:09.441530,nan,PROD001,4,423.66,EUR,Retail,471.2569521690768,,,
44,2021-11-29 23:53:09.441530,nan,PROD003,3,221.87,JPY,Online,1.5359512416650052,,,
45,2024-04-11 23:53:09.441530,nan,PROD019,9,416.05,EUR,Retail,462.7919911012236,,,
46,2023-01-20 23:53:09.441530,nan,PROD001,1,413.22,EUR,Wholesale,459.6440489432703,,,
47,2023-10-14 23:53:09.441530,nan,PROD004,6,102.55,GBP,Retail,135.32594352071786,,,
48,2021-10-03 23:53:09.441530,nan,PROD011,7,353.56,JPY,Wholesale,2.4476086041514367,,,
49,2022-03-23 23:53:09.441530,nan,PROD007,4,152.42,EUR,Retail,169.54393770856507,,,
50,2024-06-20 23:53:09.441530,nan,PROD007,3,155.77,USD,Retail,155.77,,,
51,2024-06-16 23:53:09.441530,nan,PROD014,8,155.21,EUR,Retail,172.64738598442716,,,
52,2023-03-18 23:53:09.441530,nan,PROD015,9,365.53,GBP,Online,482.3568223805753,,,
53,2023-08-02 23:53:09.441530,nan,PROD005,1,122.61,USD,Retail,122.61,,,
54,2022-10-05 23:53:09.441530,nan,PROD014,9,10.44,USD,Retail,10.44,,,
55,2023-08-29 23:53:09.441530,nan,PROD013,7,360.47,JPY,Online,2.495444828426486,,,
56,2022-02-07 23:53:09.441530,nan,PROD020,1,93.88,USD,Retail,93.88,,,
57,2022-03-19 23:53:09.441530,nan,PROD018,7,61.2,USD,Online,61.2,,,
58,2024-05-21 23:53:09.441530,nan,PROD001,5,126.38,GBP,Online,166.77223541831617,,,
59,2022-05-26 23:53:09.441530,nan,PROD013,7,196.15,JPY,Online,1.3578980306151835,,,
